[0.000000] (-) TimerEvent: {}
[0.001782] (-) JobUnselected: {'identifier': 'timed_roslaunch'}
[0.001800] (-) JobUnselected: {'identifier': 'tug_example_actions'}
[0.001818] (-) JobUnselected: {'identifier': 'tug_example_msgs'}
[0.001836] (-) JobUnselected: {'identifier': 'tug_example_pnp_server'}
[0.001854] (-) JobUnselected: {'identifier': 'turtlebot_teleop'}
[0.001872] (-) JobUnselected: {'identifier': 'yocs_cmd_vel_mux'}
[0.001892] (robot_scheduling_server) JobQueued: {'identifier': 'robot_scheduling_server', 'dependencies': OrderedDict([('nav_2d_msgs', '/home/handsome/ros_ws_test/install/nav_2d_msgs'), ('pnp_msgs', '/home/handsome/ros_ws_test/install/pnp_msgs'), ('ros_utility_tools', '/home/handsome/ros_ws_test/install/ros_utility_tools'), ('locomotor_msgs', '/home/handsome/ros_ws_test/install/locomotor_msgs'), ('pnp_ros', '/home/handsome/ros_ws_test/install/pnp_ros'), ('robot_scheduling_msgs', '/home/handsome/ros_ws_test/install/robot_scheduling_msgs')])}
[0.002106] (robot_scheduling_server) JobStarted: {'identifier': 'robot_scheduling_server'}
[0.098795] (-) TimerEvent: {}
[0.176122] (robot_scheduling_server) JobProgress: {'identifier': 'robot_scheduling_server', 'progress': 'cmake'}
[0.176474] (robot_scheduling_server) JobProgress: {'identifier': 'robot_scheduling_server', 'progress': 'build'}
