[0.000000] (-) TimerEvent: {}
[0.001575] (-) JobUnselected: {'identifier': 'omron_os32c_driver'}
[0.001594] (-) JobUnselected: {'identifier': 'open_auto_dock'}
[0.001612] (-) JobUnselected: {'identifier': 'open_auto_dock_msgs'}
[0.001631] (-) JobUnselected: {'identifier': 'pnp_msgs'}
[0.001650] (-) JobUnselected: {'identifier': 'pnp_ros'}
[0.001669] (-) JobUnselected: {'identifier': 'pnp_rosplan'}
[0.001688] (-) JobUnselected: {'identifier': 'razor_imu_9dof'}
[0.001707] (-) JobUnselected: {'identifier': 'robot_control_msgs'}
[0.001725] (-) JobUnselected: {'identifier': 'robot_database_bridge'}
[0.001744] (-) JobUnselected: {'identifier': 'robot_localization'}
[0.001763] (-) JobUnselected: {'identifier': 'robot_navigation'}
[0.001782] (-) JobUnselected: {'identifier': 'robot_scheduling_msgs'}
[0.001801] (-) JobUnselected: {'identifier': 'robot_scheduling_server'}
[0.001820] (-) JobUnselected: {'identifier': 'robot_udp_bridge'}
[0.001839] (-) JobUnselected: {'identifier': 'ros_utility_tools'}
[0.001857] (-) JobUnselected: {'identifier': 'rp_action'}
[0.001876] (-) JobUnselected: {'identifier': 'rp_action_msgs'}
[0.001895] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.001914] (-) JobUnselected: {'identifier': 'samsungcmd_msgs'}
[0.001932] (-) JobUnselected: {'identifier': 'spatio_temporal_voxel_layer'}
[0.001951] (-) JobUnselected: {'identifier': 'stated_roslaunch'}
[0.001970] (-) JobUnselected: {'identifier': 'teb2_local_planner'}
[0.001989] (-) JobUnselected: {'identifier': 'timed_roslaunch'}
[0.002007] (-) JobUnselected: {'identifier': 'tug_example_actions'}
[0.002026] (-) JobUnselected: {'identifier': 'tug_example_msgs'}
[0.002045] (-) JobUnselected: {'identifier': 'tug_example_pnp_server'}
[0.002064] (-) JobUnselected: {'identifier': 'turtlebot_teleop'}
[0.002082] (-) JobUnselected: {'identifier': 'yocs_cmd_vel_mux'}
[0.002103] (robot_scheduling_actions) JobQueued: {'identifier': 'robot_scheduling_actions', 'dependencies': OrderedDict([('botcmd_msgs', '/home/handsome/ros_ws_test/install/botcmd_msgs'), ('car_db_manager_msgs', '/home/handsome/ros_ws_test/install/car_db_manager_msgs'), ('nav_2d_msgs', '/home/handsome/ros_ws_test/install/nav_2d_msgs'), ('open_auto_dock_msgs', '/home/handsome/ros_ws_test/install/open_auto_dock_msgs'), ('pnp_msgs', '/home/handsome/ros_ws_test/install/pnp_msgs'), ('ros_utility_tools', '/home/handsome/ros_ws_test/install/ros_utility_tools'), ('locomotor_msgs', '/home/handsome/ros_ws_test/install/locomotor_msgs'), ('pnp_ros', '/home/handsome/ros_ws_test/install/pnp_ros'), ('robot_scheduling_msgs', '/home/handsome/ros_ws_test/install/robot_scheduling_msgs')])}
[0.002441] (robot_scheduling_actions) JobStarted: {'identifier': 'robot_scheduling_actions'}
[0.099128] (-) TimerEvent: {}
[0.199504] (-) TimerEvent: {}
[0.252892] (robot_scheduling_actions) JobProgress: {'identifier': 'robot_scheduling_actions', 'progress': 'cmake'}
[0.254008] (robot_scheduling_actions) JobProgress: {'identifier': 'robot_scheduling_actions', 'progress': 'build'}
